t,x,y,z,vx,vy,l2_actual,cy_pos_y,cy_neg_y
3.19,0.31588534578920474,-0.5418516405979035,0.2497082198596417,0.10752034274437848,-0.18301165724749638,0.5788000000000001,-0.28536057822973904,-0.7983427029660679
3.192,0.31610038643109023,-0.5422176639351322,0.24960653280062559,0.10752032094274469,-0.1830116686143382,0.5788000000000001,-0.2857829520770133,-0.798652375793251
3.194,0.3162865974526104,-0.5425888321711616,0.24951814501071268,0.09310551076008092,-0.18558411801470379,0.5787999999999999,-0.28621534671220966,-0.7989623176301135
3.196,0.31654367541698947,-0.5429046716226232,0.24953286755690862,0.128538982189522,-0.1579197257308389,0.5788,-0.286566120164401,-0.7992432230808455
3.198,0.31682406798688534,-0.5431697480797116,0.2497029452655413,0.14019628494793857,-0.13253822854418482,0.5787999999999999,-0.2868660655003763,-0.799473430659047
3.2,0.31708196429973823,-0.543439172780033,0.2498606158496146,0.12894815642644153,-0.13471235016065966,0.5787999999999999,-0.2871776509274264,-0.7997006946326395
3.202,0.31732333649696043,-0.543712634867832,0.2499995964334857,0.12068609861109733,-0.1367310438995023,0.5788000000000001,-0.2874979150962083,-0.7999273546394556
3.204,0.3175522994348999,-0.5439897536794792,0.2501153989967521,0.11448146896973115,-0.1385594058236482,0.5788,-0.2878247990691382,-0.8001547082898202
3.206,0.3177715772462636,-0.544270189617035,0.25020496344978105,0.10963890568187049,-0.14021796877791337,0.5788000000000001,-0.2881569486952341,-0.8003834305388359
3.208,0.3179829109362104,-0.5445536886873681,0.2502662950010346,0.1056668449733939,-0.14174953516656602,0.5788000000000002,-0.2884935246827676,-0.8006138526919686
3.21,0.3181874848038859,-0.5448400652203453,0.2502980237337574,0.10228693383776886,-0.1431882664886326,0.5787999999999998,-0.2888339552425984,-0.8008461751980922
3.212,0.31838608805920837,-0.5451291947769827,0.2502992360321798,0.09930162766122425,-0.14456477831869105,0.5787999999999999,-0.28917786160570697,-0.8010805279482585
